from https://www2.pvlighthouse.com.au/resources/optics/spectrum%20library/spectrum%20library.aspx
Wavelength 	Spectral irradiance 	Cumulative photon flux
nm      	W⋅m–2⋅nm–1 	cm–2⋅s–1
 
642.000	1.43250	1.00926E+17
643.000	1.44625	1.01394E+17
644.000	1.44250	1.01861E+17
645.000	1.44375	1.02330E+17
646.000	1.41375	1.02789E+17
647.000	1.40000	1.03245E+17
648.000	1.38625	1.03697E+17
649.000	1.35625	1.04140E+17
650.000	1.36875	1.04587E+17
651.000	1.42250	1.05053E+17
652.000	1.39375	1.05510E+17
653.000	1.42125	1.05977E+17
654.000	1.40500	1.06440E+17
655.000	1.33625	1.06880E+17
656.000	1.20875	1.07279E+17
657.000	1.25000	1.07692E+17
658.000	1.36375	1.08143E+17
659.000	1.39000	1.08604E+17
660.000	1.39750	1.09068E+17
661.000	1.39000	1.09531E+17
662.000	1.38125	1.09991E+17
663.000	1.38125	1.10451E+17
664.000	1.39250	1.10916E+17
665.000	1.41625	1.11390E+17
666.000	1.41875	1.11866E+17
667.000	1.41125	1.12339E+17
668.000	1.41375	1.12814E+17
669.000	1.43375	1.13297E+17
670.000	1.42125	1.13776E+17
671.000	1.40875	1.14252E+17
672.000	1.39500	1.14723E+17
673.000	1.40625	1.15199E+17
674.000	1.40000	1.15674E+17
675.000	1.39375	1.16147E+17
676.000	1.40625	1.16626E+17
677.000	1.40125	1.17103E+17
678.000	1.39875	1.17580E+17
679.000	1.39125	1.18055E+17
680.000	1.39000	1.18531E+17
681.000	1.39000	1.19007E+17
682.000	1.38875	1.19483E+17
683.000	1.38000	1.19958E+17
684.000	1.37125	1.20430E+17
685.000	1.36625	1.20900E+17
686.000	1.29688	1.21348E+17
687.000	1.03125	1.21704E+17
688.000	1.10063	1.22085E+17
689.000	1.12750	1.22476E+17
690.000	1.17875	1.22885E+17
691.000	1.22875	1.23313E+17
692.000	1.26375	1.23753E+17
693.000	1.25875	1.24191E+17
694.000	1.24625	1.24627E+17
695.000	1.26500	1.25069E+17
696.000	1.27125	1.25514E+17
697.000	1.32750	1.25979E+17
698.000	1.31875	1.26443E+17
699.000	1.29250	1.26897E+17
700.000	1.27875	1.27347E+17
701.000	1.26250	1.27793E+17
702.000	1.26125	1.28238E+17
703.000	1.27250	1.28688E+17
704.000	1.29875	1.29148E+17
705.000	1.31625	1.29615E+17
706.000	1.31125	1.30081E+17
707.000	1.30875	1.30546E+17
708.000	1.30250	1.31010E+17
709.000	1.30875	1.31477E+17
710.000	1.31000	1.31945E+17
711.000	1.30875	1.32413E+17
712.000	1.30000	1.32879E+17
713.000	1.29250	1.33342E+17
714.000	1.29375	1.33807E+17
715.000	1.26625	1.34263E+17
